2026-08-07 19:16:45 UTC | FAIL | bore.pub:20445 | Client chưa vào được server do lỗi TCP. Nguyên nhân: kết nối mạng thất bại trước khi gửi y
2026-08-16 10:41:20 UTC | FAIL | bore.pub:20445 | 
2026-08-16 11:00:37 UTC | FAIL | bore.pub:20445 | 
2026-08-16 11:34:46 UTC | FAIL | bore.pub:20445 | ##
2026-08-16 11:57:46 UTC | FAIL | bore.pub:20445 | 
2026-08-16 12:54:36 UTC | FAIL | bore.pub:20445 | 
2026-08-16 13:33:37 UTC | FAIL | bore.pub:20445 | 
2026-08-16 14:00:14 UTC | FAIL | bore.pub:20445 | 
2026-08-16 14:33:20 UTC | FAIL | bore.pub:20445 | 
2026-08-16 15:00:10 UTC | FAIL | bore.pub:20445 | 
2026-08-16 15:31:24 UTC | FAIL | bore.pub:20445 | **Phân tích:**

- **Client không vào được server.**
- **Lỗi ở TCP:** Kết nối mạng đến `bor
2026-08-16 15:58:42 UTC | FAIL | bore.pub:20445 | 
2026-08-16 16:35:20 UTC | FAIL | bore.pub:20445 | 
2026-08-16 17:00:53 UTC | FAIL | bore.pub:20445 | 
2026-08-16 17:34:14 UTC | FAIL | bore.pub:20445 | 
2026-08-16 17:56:53 UTC | FAIL | bore.pub:20445 | 
2026-08-16 18:37:51 UTC | FAIL | bore.pub:20445 | 
2026-08-16 19:34:40 UTC | FAIL | bore.pub:20445 | 
2026-08-16 19:56:34 UTC | FAIL | bore.pub:20445 | 
2026-08-16 20:29:17 UTC | FAIL | bore.pub:20445 | 
2026-08-16 20:51:59 UTC | FAIL | bore.pub:20445 | 
2026-08-16 21:23:02 UTC | FAIL | bore.pub:20445 | 
2026-08-16 21:46:28 UTC | FAIL | bore.pub:20445 | 
2026-08-16 22:23:44 UTC | FAIL | bore.pub:20445 | 
2026-08-16 22:48:11 UTC | FAIL | bore.pub:20445 | **Phân tích
2026-08-16 23:22:27 UTC | FAIL | bore.pub:20445 | 
2026-08-16 23:46:32 UTC | FAIL | bore.pub:20445 | 
2026-08-17 01:25:13 UTC | FAIL | bore.pub:20445 | 
2026-08-17 02:43:30 UTC | FAIL | bore.pub:20445 | 
2026-08-17 03:35:30 UTC | FAIL | bore.pub:20445 | 
2026-08-17 04:27:02 UTC | FAIL | bore.pub:20445 | 
2026-08-17 05:10:56 UTC | FAIL | bore.pub:20445 | 
2026-08-17 05:51:45 UTC | FAIL | bore.pub:20445 | 
2026-08-17 07:00:59 UTC | FAIL | bore.pub:20445 | 
2026-08-17 08:01:19 UTC | FAIL | bore.pub:20445 | 
2026-08-17 09:01:52 UTC | FAIL | bore.pub:20445 | 
2026-08-17 09:58:25 UTC | FAIL | bore.pub:20445 | 
2026-08-17 10:40:26 UTC | FAIL | bore.pub:20445 | 
2026-08-17 11:03:50 UTC | FAIL | bore.pub:20445 | 
2026-08-17 11:42:10 UTC | FAIL | bore.pub:20445 | 
2026-08-17 13:07:01 UTC | FAIL | bore.pub:20445 | 
2026-08-17 13:54:22 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-17 14:31:29 UTC | FAIL | bore.pub:20445 | 
2026-08-17 15:04:21 UTC | FAIL | bore.pub:20445 | 
2026-08-17 15:41:52 UTC | FAIL | bore.pub:20445 | 
2026-08-17 16:00:59 UTC | FAIL | bore.pub:20445 | 
2026-08-17 16:46:29 UTC | FAIL | bore.pub:20445 | 
2026-08-17 17:28:57 UTC | FAIL | bore.pub:20445 | 
2026-08-17 17:57:59 UTC | FAIL | bore.pub:20445 | 
2026-08-17 18:51:33 UTC | FAIL | bore.pub:20445 | 
2026-08-17 19:30:30 UTC | FAIL | bore.pub:20445 | 
2026-08-17 20:00:58 UTC | FAIL | bore.pub:20445 | 
2026-08-17 20:44:57 UTC | FAIL | bore.pub:20445 | 
2026-08-17 21:11:03 UTC | FAIL | bore.pub:20445 | 
2026-08-17 21:42:37 UTC | FAIL | bore.pub:20445 | 
2026-08-17 22:02:23 UTC | FAIL | bore.pub:20445 | 
2026-08-17 22:42:30 UTC | FAIL | bore.pub:20445 | 
2026-08-17 23:02:27 UTC | FAIL | bore.pub:20445 | 
2026-08-17 23:37:44 UTC | FAIL | bore.pub:20445 | 
2026-08-18 01:45:28 UTC | FAIL | bore.pub:20445 | 
2026-08-18 02:43:31 UTC | FAIL | bore.pub:20445 | 
2026-08-18 03:30:24 UTC | FAIL | bore.pub:20445 | 
2026-08-18 04:18:17 UTC | FAIL | bore.pub:20445 | 
2026-08-18 05:02:39 UTC | FAIL | bore.pub:20445 | 
2026-08-18 05:45:45 UTC | FAIL | bore.pub:20445 | 
2026-08-18 06:48:24 UTC | FAIL | bore.pub:20445 | **Phân tích:**
2026-08-18 07:40:10 UTC | FAIL | bore.pub:20445 | 
2026-08-18 08:16:27 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-18 09:49:30 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-18 10:32:01 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-18 11:03:57 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
2026-08-18 11:43:09 UTC | FAIL | bore.pub:20445 | AI err:The read operation timed out
